compound_drug_id,compound_compound_name,compound_iupac,compound_smiles,compound_molecular_weight,compound_molecular_formula,compound_pharmacology
DB06710,Methyltestosterone,"(1S,2R,10R,11S,14S,15S)-14-hydroxy-2,14,15-trimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-en-5-one",[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,302.224580204,C20H30O2,pending
DB06711,Naphazoline,"2-(naphthalen-1-ylmethyl)-4,5-dihydro-1H-imidazole",C(C1=NCCN1)C1=CC=CC2=CC=CC=C12,210.115698458,C14H14N2,pending
DB06712,Nilvadipine,"3-methyl 5-propan-2-yl 2-cyano-6-methyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N,385.127385355,C19H19N3O6,pending
DB06713,Norelgestromin,"(1S,2R,10R,11S,14R,15S)-15-ethyl-14-ethynyl-5-(hydroxyimino)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@@]21[H])=NO,327.219829178,C21H29NO2,pending
DB06714,Propylhexedrine,(1-cyclohexylpropan-2-yl)(methyl)amine,CNC(C)CC1CCCCC1,155.167399677,C10H21N,pending
DB06715,Potassium Iodide,potassium iodide,[K+].[I-],165.868175281,IK,pending
DB06716,Fospropofol,"[2,6-bis(propan-2-yl)phenoxymethoxy]phosphonic acid",CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,288.112660294,C13H21O5P,pending
DB06717,Fosaprepitant,"(3-{[(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholin-4-yl]meth",C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,614.116518403,C23H22F7N4O6P,pending
DB06718,Stanozolol,"(1S,2S,10S,13R,14S,17S,18S)-2,17,18-trimethyl-6,7-diazapentacyclo[11.7.0.0²,¹⁰.0⁴,⁸.0¹⁴,¹⁸]icosa-4,7",[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC3=NNC=C3C[C@]12C,328.251463656,C21H32N2O,pending
DB06719,Buserelin,,,,,pending
DB06720,Velaglucerase alfa,,,,,pending
DB06721,Gimatecan,"(19S)-10-[(1E)-[(tert-butoxy)imino]methyl]-19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.0²",[H]\C(=N/OC(C)(C)C)C1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=CC=C12,447.179420917,C25H25N3O5,pending
DB06723,Aluminum hydroxide,aluminium(3+) trihydroxide,[OH-].[OH-].[OH-].[Al+3],77.989757403,AlH3O3,pending
DB06724,Calcium carbonate,calcium carbonate,[Ca++].[O-]C([O-])=O,99.947335021,CCaO3,pending
DB06725,Lornoxicam,"6-chloro-4-hydroxy-2-methyl-1,1-dioxo-N-(pyridin-2-yl)-2H-1λ⁶-thieno[2,3-e][1,2]thiazine-3-carboxami",CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,370.9801259,C13H10ClN3O4S2,pending
DB06726,Bufuralol,2-(tert-butylamino)-1-(7-ethyl-1-benzofuran-2-yl)ethan-1-ol,CCC1=CC=CC2=C1OC(=C2)C(O)CNC(C)(C)C,261.172878985,C16H23NO2,pending
DB06727,Sparteine,"(1S,2R,9S,10S)-7,15-diazatetracyclo[7.7.1.0^{2,7}.0^{10,15}]heptadecane",[H][C@@]12CCCCN1C[C@@H]1C[C@H]2CN2CCCC[C@]12[H],234.209598845,C15H26N2,pending
DB06728,Aniline,aniline,NC1=CC=CC=C1,93.057849229,C6H7N,pending
DB06729,Sulfaphenazole,4-amino-N-(1-phenyl-1H-pyrazol-5-yl)benzene-1-sulfonamide,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,314.083746402,C15H14N4O2S,pending
DB06730,Gestodene,"(1S,2R,10R,11S,14R,15S)-15-ethyl-14-ethynyl-14-hydroxytetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-6,12-di",CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C,310.193280076,C21H26O2,pending
DB06731,Seproxetine,(3S)-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,NCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,295.118398628,C16H16F3NO,pending
DB06732,beta-Naphthoflavone,3-phenyl-1H-benzo[f]chromen-1-one,O=C1C=C(OC2=C1C1=CC=CC=C1C=C2)C1=CC=CC=C1,272.083729628,C19H12O2,pending
DB06733,Bafilomycin A1,"(3Z,5E,7R,8S,9S,11E,13E,15S,16R)-16-[(2S,3R,4S)-4-[(2R,4R,5S,6R)-2,4-dihydroxy-5-methyl-6-(propan-2-",CO[C@H]1\C=C\C=C(C)\C[C@H](C)[C@H](O)[C@H](C)\C=C(/C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C,622.408083448,C35H58O9,pending
DB06734,Bafilomycin B1,"(2R,4R,5S,6R)-2-hydroxy-2-[(2S,3R,4S)-3-hydroxy-4-[(3S,4Z,6Z,9S,10S,11R,12Z,14E)-10-hydroxy-3,15-dim",CO[C@H]1\C=C/C=C(C)\C[C@H](C)[C@H](O)[C@H](C)\C=C(\C)/C=C(OC)\C(=O)OC1[C@@H](C)[C@@H](O)[C@H](C)[C@@,815.445591157,C44H65NO13,pending
DB06735,Enclomiphene,"(2-{4-[(E)-2-chloro-1,2-diphenylethenyl]phenoxy}ethyl)diethylamine",CCN(CC)CCOC1=CC=C(C=C1)C(=C(\Cl)C1=CC=CC=C1)\C1=CC=CC=C1,405.1859422,C26H28ClNO,pending
DB06736,Aceclofenac,"2-[(2-{2-[(2,6-dichlorophenyl)amino]phenyl}acetyl)oxy]acetic acid",OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,353.0221633,C16H13Cl2NO4,pending
DB06737,Zaltoprofen,"2-{10-oxo-2-thiatricyclo[9.4.0.0³,⁸]pentadeca-1(11),3,5,7,12,14-hexaen-6-yl}propanoic acid",CC(C(O)=O)C1=CC=C2SC3=C(C=CC=C3)C(=O)CC2=C1,298.066365485,C17H14O3S,pending
DB06738,Ketobemidone,1-[4-(3-hydroxyphenyl)-1-methylpiperidin-4-yl]propan-1-one,CCC(=O)C1(CCN(C)CC1)C1=CC(O)=CC=C1,247.157228921,C15H21NO2,pending
DB06739,Seratrodast,"7-phenyl-7-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)heptanoic acid",CC1=C(C)C(=O)C(C(CCCCCC(O)=O)C2=CC=CC=C2)=C(C)C1=O,354.183109317,C22H26O4,pending
DB06740,BW-A 58C,"2-(4-tert-butylcyclohexyl)-3-hydroxy-1,4-dihydronaphthalene-1,4-dione",CC(C)(C)C1CCC(CC1)C1=C(O)C(=O)C2=CC=CC=C2C1=O,312.172544633,C20H24O3,pending
DB06741,Gavestinel,"4,6-dichloro-3-[(1E)-2-(phenylcarbamoyl)eth-1-en-1-yl]-1H-indole-2-carboxylic acid",OC(=O)C1=C(\C=C\C(=O)NC2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1,374.0224977,C18H12Cl2N2O3,pending
DB06742,Ambroxol,"(1r,4r)-4-{[(2-amino-3,5-dibromophenyl)methyl]amino}cyclohexan-1-ol",NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1,375.978589,C13H18Br2N2O,pending
DB06743,Ginkgolide A,"(1R,3R,6R,7S,8S,10R,11S,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyc",C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@],408.142032366,C20H24O9,pending
DB06744,ginkgolide-B,"(1R,3R,6R,7S,8S,10R,11R,12R,13S,16S,17R)-8-tert-butyl-6,12,17-trihydroxy-16-methyl-2,4,14,19-tetraox",C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O,424.136946988,C20H24O10,pending
DB06745,ginkgolide-C,"(1R,3R,6R,7S,8S,9R,10S,11R,12R,13S,16S,17R)-8-tert-butyl-6,9,12,17-tetrahydroxy-16-methyl-2,4,14,19-",C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@]34[C@@H]5OC(=O)[C@]3(O[C@@H]3OC(=O)[C@H](O)[C@]43[C@@H]([C@H]5O)C(C),440.13186161,C20H24O11,pending
DB06746,ginkgolide-J,"(1R,3R,6R,7S,8S,9R,10S,11S,13S,16S,17R)-8-tert-butyl-6,9,17-trihydroxy-16-methyl-2,4,14,19-tetraoxah",C[C@@H]1C(=O)O[C@H]2C[C@]34[C@@H]5OC(=O)[C@]3(O[C@@H]3OC(=O)[C@H](O)[C@]43[C@@H]([C@H]5O)C(C)(C)C)[C,424.136946988,C20H24O10,pending
DB06747,ginkgolide-M,"(1S,3R,6R,7S,8S,9R,10S,11R,12R,13R,16S)-8-tert-butyl-6,9,12-trihydroxy-16-methyl-2,4,14,19-tetraoxah",C[C@H]1C2[C@@H](OC1=O)[C@H](O)[C@]13[C@@H]4OC(=O)[C@]21O[C@@H]1OC(=O)[C@H](O)[C@]31[C@@H]([C@H]4O)C(,424.136946988,C20H24O10,pending
DB06748,Ginsenoside C,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-{[(1R,2R,5S,7R,10R,11R,14S,15R,16R)-16-hydroxy",[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O,1078.592374538,C53H90O22,pending
DB06749,Ginsenoside Rb1,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-2-{[(1S,3aR,3bR,5aR,7S,9aR,9bR,11R,11aR)-11-hydroxy-3a,3b,6,6,",[H][C@@]1(CC[C@]2(C)[C@]1([H])[C@H](O)C[C@]1([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O,1108.602939222,C54H92O23,pending
DB06750,Ginsenoside Rg1,"(2S,3R,4S,5S,6R)-2-{[(2S)-2-[(1R,2R,5S,7R,8S,10R,11R,14S,15R,16R)-5,16-dihydroxy-2,6,6,10,11-pentame",CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[,800.492206998,C42H72O14,pending
DB06751,Drotaverine,"(1Z)-1-[(3,4-diethoxyphenyl)methylidene]-6,7-diethoxy-1,2,3,4-tetrahydroisoquinoline",CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1,397.225308485,C24H31NO4,pending
DB06752,Chymopapain,,,,,pending
DB06753,Triclofos,"(2,2,2-trichloroethoxy)phosphonic acid",OP(O)(=O)OCC(Cl)(Cl)Cl,227.8912787,C2H4Cl3O4P,pending
DB06754,Danaparoid,,,,,pending
DB06755,Beta carotene,"1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohe",C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,536.438201803,C40H56,pending
DB06756,Glycine betaine,2-(trimethylazaniumyl)acetate,C[N+](C)(C)CC([O-])=O,117.078978601,C5H11NO2,pending
DB06757,Manganese,manganese(2+) ion,[Mn++],54.938049636,Mn,pending
DB06759,Fomivirsen,,,,,pending
DB06760,Sacrosidase,,,,,pending
DB06761,Beractant,,,,,pending
DB06762,Pinacidil,"(Z)-N'-cyano-N-(3,3-dimethylbutan-2-yl)-N''-(pyridin-4-yl)guanidine",CC(N\C(NC#N)=N\C1=CC=NC=C1)C(C)(C)C,245.164045632,C13H19N5,pending
DB06763,Saralasin,(2S)-2-{[(2S)-1-[(2S)-2-[(2S)-2-[(2S)-2-[(2S)-2-[(2S)-5-[(diaminomethylidene)amino]-2-[2-(methylamin,[H]N([H])C(=NCCC[C@H](N([H])C(=O)CN([H])C)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](CC1=CC=C(O)C=C1),911.497735345,C42H65N13O10,pending
DB06764,Tetryzoline,"2-(1,2,3,4-tetrahydronaphthalen-1-yl)-4,5-dihydro-1H-imidazole",C1CN=C(N1)C1CCCC2=CC=CC=C12,200.131348523,C13H16N2,pending
DB06766,Alcaftadine,"2-(1-methylpiperidin-4-ylidene)-4,7-diazatricyclo[8.4.0.0³,⁷]tetradeca-1(14),3,5,10,12-pentaene-6-ca",CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12,307.168462309,C19H21N3O,pending
DB06767,Ammonium chloride,ammonium chloride,[NH4+].[Cl-],53.00322684,ClH4N,pending
DB06768,Ammonium lactate,ammonium 2-hydroxypropanoate,[NH4+].CC(O)C([O-])=O,107.058243159,C3H9NO3,pending
DB06769,Bendamustine,"4-{5-[bis(2-chloroethyl)amino]-1-methyl-1H-1,3-benzodiazol-2-yl}butanoic acid",CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,357.101082345,C16H21Cl2N3O2,pending
DB06770,Benzyl alcohol,phenylmethanol,OCC1=CC=CC=C1,108.057514878,C7H8O,pending
DB06771,Besifloxacin,"7-[(3R)-3-aminoazepan-1-yl]-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic ",N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O,393.125547465,C19H21ClFN3O3,pending
DB06772,Cabazitaxel,"(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4-(acetyloxy)-15-{[(2R,3S)-3-{[(tert-butoxy)carbonyl]amino}-2-hydrox",[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C,835.377905537,C45H57NO14,pending
DB06773,Human calcitonin,,,,,pending
DB06774,Capsaicin,(6E)-N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,305.199093735,C18H27NO3,pending
DB06775,Carglumic acid,(2S)-2-(carbamoylamino)pentanedioic acid,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,190.05897144,C6H10N2O5,pending
DB06776,Sodium cellulose phosphate,,,,,pending
DB06777,Chenodeoxycholic acid,"(4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]hep",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C),392.292659768,C24H40O4,pending
DB06778,Cupric sulfate,copper(2+) ion sulfate,[Cu++].[O-]S([O-])(=O)=O,158.881330257,CuO4S,pending
DB06779,Dalteparin,,,,,pending
DB06780,Desoxycorticosterone acetate,"2-[(1S,3aS,3bS,9aR,9bS,11aS)-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,1",[H][C@@]12CC[C@H](C(=O)COC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,372.23005951,C23H32O4,pending
DB06781,Difluprednate,"(1R,2S,8S,10S,11S,14R,15S,17S)-14-[2-(acetyloxy)acetyl]-1,8-difluoro-17-hydroxy-2,15-dimethyl-5-oxot",[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=,508.227259852,C27H34F2O7,pending
DB06782,Dimercaprol,"2,3-disulfanylpropan-1-ol",OCC(S)CS,124.001656258,C3H8OS2,pending
DB06783,Prussian blue,tetrairon(3+) ion tris(hexacyanoirontetrauide),[Fe+3].[Fe+3].[Fe+3].[Fe+3].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe,859.599884,C18Fe7N18,pending
DB06784,Gallium citrate Ga 67,"(⁶⁷Ga)gallium(3+) ion 2-hydroxypropane-1,2,3-tricarboxylate",[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,255.931732429,C6H5GaO7,pending
DB06785,Ganirelix,(2R)-6-{[bis(ethylamino)methylidene]amino}-N-[(1S)-1-{[(2S)-6-{[bis(ethylamino)methylidene]amino}-1-,CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@,1568.8423035,C80H113ClN18O13,pending
DB06786,Halcinonide,"(1S,2S,4R,8S,9S,11S,12R,13S)-8-(2-chloroacetyl)-12-fluoro-11-hydroxy-6,6,9,13-tetramethyl-5,7-dioxap",[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,454.19223,C24H32ClFO5,pending
DB06787,Hexocyclium,"4-(2-cyclohexyl-2-hydroxy-2-phenylethyl)-1,1-dimethylpiperazin-1-ium",C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1,317.258740111,C20H33N2O,pending
DB06788,Histrelin,"(2S)-1-[(2S)-2-{[(2S)-2-{[(2R)-3-(1-benzyl-1H-imidazol-4-yl)-2-{[(2S)-2-{[(2S)-1,3-dihydroxy-2-{[(2S",CC(O)=O.CC(O)=O.[H][C@@](CO)(N=C(O)[C@]([H])(CC1=CNC2=CC=CC=C12)N=C(O)[C@]([H])(CC1=CN=CN1)N=C(O)[C@,1442.709519019,C70H94N18O16,pending
DB06789,Hydroxyprogesterone caproate,"(1R,3aS,3bR,9aR,9bS,11aS)-1-acetyl-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H",[H][C@@]12CC[C@](OC(=O)CCCCC)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,428.292659768,C27H40O4,pending
DB06791,Lanreotide,2-({19-[2-amino-3-(naphthalen-2-yl)propanamido]-10-(4-aminobutyl)-16-[(4-hydroxyphenyl)methyl]-13-[(,[H]N([H])CCCCC1N([H])C(=O)C(CC2=CN([H])C3=CC=CC=C23)N([H])C(=O)C(CC2=CC=C(O)C=C2)N([H])C(=O)C(CSSCC(,1095.467029814,C54H69N11O10S2,pending
DB06792,Lanthanum carbonate,dilanthanum(3+) ion tricarbonate,[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,457.76695,C3La2O9,pending
DB06793,Levopropoxyphene,"(2R,3S)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl propanoate",[H][C@](C)(CN(C)C)[C@@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1,339.219829178,C22H29NO2,pending
DB06794,Lodoxamide,{[3-(carboxyformamido)-2-chloro-5-cyanophenyl]carbamoyl}formic acid,OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N,310.9945126,C11H6ClN3O6,pending
DB06795,Mafenide,4-(aminomethyl)benzene-1-sulfonamide,NCC1=CC=C(C=C1)S(N)(=O)=O,186.046298264,C7H10N2O2S,pending
DB06796,Mangafodipir,manganese(2+) ion 2-({2-[(carboxylatomethyl)({3-hydroxy-2-methyl-6-[(phosphonooxy)methyl]pyridin-4-y,[Mn++].CC1=C(O)C(CN(CCN(CC([O-])=O)CC2=CC(COP(O)(O)=O)=NC(C)=C2O)CC([O-])=O)=CC(COP(O)(O)=O)=N1,691.06142,C22H30MnN4O14P2,pending
DB06797,Mebutamate,"2-[(carbamoyloxy)methyl]-2,3-dimethylpentyl carbamate",CCC(C)C(C)(COC(N)=O)COC(N)=O,232.142307138,C10H20N2O4,pending
DB06799,Methenamine,"1,3,5,7-tetraazatricyclo[3.3.1.1³,⁷]decane",C1N2CN3CN1CN(C2)C3,140.106196404,C6H12N4,pending
DB06800,Methylnaltrexone,"(1S,4R,5R,13R,17S)-4-(cyclopropylmethyl)-10,17-dihydroxy-4-methyl-14-oxo-12-oxa-4-azapentacyclo[9.6.",C[N@+]1(CC2CC2)CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35,356.185634741,C21H26NO4,pending
DB06801,Monoctanoin,"2,3-dihydroxypropyl octanoate",CCCCCCCC(=O)OCC(O)CO,218.151809188,C11H22O4,pending
DB06802,Nepafenac,2-(2-amino-3-benzoylphenyl)acetamide,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,254.105527702,C15H14N2O2,pending
DB06803,Niclosamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,325.986112168,C13H8Cl2N2O4,pending
DB06804,Nonoxynol-9,"26-(4-nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",CCCCCCCCCC1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,616.41864814,C33H60O10,pending
DB06807,Phenyl aminosalicylate,phenyl 4-amino-2-hydroxybenzoate,NC1=CC(O)=C(C=C1)C(=O)OC1=CC=CC=C1,229.073893218,C13H11NO3,pending
DB06809,Plerixafor,"1-{[4-(1,4,8,11-tetraazacyclotetradecan-1-ylmethyl)phenyl]methyl}-1,4,8,11-tetraazacyclotetradecane",C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,502.447143768,C28H54N8,pending
DB06810,Plicamycin,"(2S,3S)-3-[(1S,3S,4R)-3,4-dihydroxy-1-methoxy-2-oxopentyl]-2-{[(2S,4R,5R,6R)-4-{[(2S,4R,5S,6R)-4-{[(",CO[C@@H]([C@@H]1CC2=CC3=CC(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)=,1084.47265336,C52H76O24,pending
DB06811,Polidocanol,"3,6,9,12,15,18,21,24,27-nonaoxanonatriacontan-1-ol",CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,582.434298204,C30H62O10,pending
DB06812,Povidone-iodine,,,,,pending
DB06813,Pralatrexate,"(2S)-2-({4-[1-(2,4-diaminopteridin-6-yl)pent-4-yn-2-yl]phenyl}formamido)pentanedioic acid",NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,477.176066881,C23H23N7O5,pending
DB06814,Protokylol,"4-(2-{[1-(2H-1,3-benzodioxol-5-yl)propan-2-yl]amino}-1-hydroxyethyl)benzene-1,2-diol",CC(CC1=CC=C2OCOC2=C1)NCC(O)C1=CC=C(O)C(O)=C1,331.14197278,C18H21NO5,pending
DB06815,Pyrithione,2-sulfanylpyridin-1-ium-1-olate,[O-][N+]1=C(S)C=CC=C1,127.009184959,C5H5NOS,pending
DB06816,Pyrvinium,"2-[(E)-2-(2,5-dimethyl-1-phenyl-1H-pyrrol-3-yl)ethenyl]-6-(dimethylamino)-1-methylquinolin-1-ium",CN(C)C1=CC2=C(C=C1)[N+](C)=C(\C=C\C1=C(C)N(C(C)=C1)C1=CC=CC=C1)C=C2,382.227774334,C26H28N3,pending
DB06817,Raltegravir,"N-[(4-fluorophenyl)methyl]-5-hydroxy-1-methyl-2-{2-[(5-methyl-1,3,4-oxadiazol-2-yl)formamido]propan-",CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1,444.155746017,C20H21FN6O5,pending
DB06819,Phenylbutyric acid,4-phenylbutanoic acid,OC(=O)CCCC1=CC=CC=C1,164.083729628,C10H12O2,pending
DB06820,Sulconazole,"1-(2-{[(4-chlorophenyl)methyl]sulfanyl}-2-(2,4-dichlorophenyl)ethyl)-1H-imidazole",ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,396.0021528,C18H15Cl3N2S,pending
DB06821,Sulfameter,4-amino-N-(5-methoxypyrimidin-2-yl)benzene-1-sulfonamide,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,280.063011436,C11H12N4O3S,pending
DB06822,Tinzaparin,,,,,pending
DB06823,Tiopronin,2-(2-sulfanylpropanamido)acetic acid,CC(S)C(=O)NCC(O)=O,163.030314328,C5H9NO3S,pending
DB06824,Triethylenetetramine,(2-aminoethyl)({2-[(2-aminoethyl)amino]ethyl})amine,NCCNCCNCCN,146.153146596,C6H18N4,pending
DB06825,Triptorelin,(2S)-N-[(2S)-5-carbamimidamido-1-[(2S)-2-[(carbamoylmethyl)carbamoyl]pyrrolidin-1-yl]-1-oxopentan-2-,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](C,1310.630874772,C64H82N18O13,pending
DB06826,Unoprostone,"(5Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-(3-oxodecyl)cyclopentyl]hept-5-enoic acid",CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,382.271924324,C22H38O5,pending
DB06827,Viomycin,"(3S)-3,6-diamino-N-[(3S,6Z,9S,12S,15S)-6-[(carbamoylamino)methylidene]-3-[(4R,6S)-6-hydroxy-2-imino-",[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=,685.325584661,C25H43N13O10,pending
DB06828,5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole,5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole,C(CN1C=CC=C1)OC1=CC2=C(NC=C2)C=C1,226.11061308,C14H14N2O,pending
